brand_name,calcium_perc,calories,carb_g,cholesterol_mg,fat_g,fiber_g,iron_perc,item_desc,item_name,potassium_mg,protein_g,saturated_fat_g,serving_size,sodium_mg,sugar_g,trans_fat_g,vit_a_perc,vit_c_perc,brand_label,category
17th Street Bar & Grill®,0%,30,6g,0mg,1g,<1g,2%,All Natural (bottled),Original Barbecue Sauce,not found,0g,0g,28g,230mg,3g,not found,8%,4%,17th Street Bar & Grill,restaurant
360 Gourmet World Grill®,not found,610,70g,83mg,19g,4g,not found,"a meal wrapped in a tortilla with rice, black beans, lettuce and fresh salsa",360 Gourmet Burrito,not found,39g,3g,1 burrito,1283mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,914,62g,130mg,55g,3g,not found,not found,Cajun Steak Quesadilla,not found,42g,16g,1 quesadilla,1598mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,526,26g,55mg,37g,6g,not found,not found,Curry Steak Salad,not found,22g,4g,1 salad,448mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,419,13g,69mg,28g,4g,not found,not found,Lemon Garlic Chicken Salad,not found,28g,3g,1 salad,345mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,555,107g,0mg,6g,11g,not found,not found,Mexican Classic Burrito,not found,20g,0g,1 burrito,1630mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,538,73g,108mg,17g,3g,not found,not found,Teriyaki Prawns - Bowl,not found,21g,1g,1 bowl,1854mg,not found,not found,not found,not found,360 Gourmet,restaurant
360 Gourmet World Grill®,not found,904,100g,69mg,39g,6g,not found,not found,Thai Chicken Wrap,not found,40g,4g,1 wrap,2074mg,not found,not found,not found,not found,360 Gourmet,restaurant
5 & Diner®,29%,769.82,40.05g,83.05mg,55.15g,2.5g,12%,white albacore tuna with melted American cheese on thick-sliced grilled rye,Albacore Tuna Melt,not found,21.92g,13.75g,1 sandwich,1552.33mg,5.48g,1.01g,10%,1%,5 & Diner,restaurant
5 & Diner®,0%,165,42g,0mg,0g,0g,0%,not found,"Apple Juice, 12 fl oz",not found,0g,0g,12 fl oz,30mg,39g,0g,0%,250%,5 & Diner,restaurant
5 & Diner®,0%,220,56g,0mg,0g,0g,0%,not found,"Apple Juice, 16 fl oz",not found,0g,0g,16 fl oz,40mg,52g,0g,0%,200%,5 & Diner,restaurant
5 & Diner®,0%,661.32,78.15g,0mg,38.07g,4g,12%,not found,Apple Pie,not found,4g,8.01g,1 order,561.12mg,26.05g,10.02g,0%,0%,5 & Diner,restaurant
5 & Diner®,10%,801.32,94.15g,35mg,45.07g,4g,12%,apple pie with a scoop of vanilla ice cream,Apple Pie a la Mode,not found,7g,12.51g,1 order,616.12mg,39.05g,10.02g,4%,0%,5 & Diner,restaurant
5 & Diner®,20%,642.14,37.27g,625.95mg,34.08g,1g,30%,not found,Apple Sausage Eggs Benedict,not found,47.98g,16.58g,1 order,1596.54mg,3.85g,0g,21%,25%,5 & Diner,restaurant
5 & Diner®,3%,9.96,1.43g,0.63mg,0.23g,0.1g,1%,not found,Au Jus,not found,0.58g,0.14g,4 oz,481.81mg,0.65g,0g,1%,0%,5 & Diner,restaurant
5 & Diner®,5%,347.14,0.78g,443.5mg,30.53g,0g,11%,not found,Bacon and Egg Combo,not found,15.88g,8.91g,1 order,333.8mg,0.78g,1.01g,10%,0%,5 & Diner,restaurant
5 & Diner®,27%,1000.75,58.54g,179.98mg,61.54g,2.44g,39%,"topped with spicy pepperjack cheese, two strips of bacon, Kenny's Special Sauce and seasoned mayo on a toasted sesame seed bun",Bacon and Pepperjack Burger,not found,50.48g,23.84g,1 sandwich,1157.16mg,15.01g,2.44g,18%,15%,5 & Diner,restaurant
5 & Diner®,27%,1000.75,58.54g,179.98mg,62.54g,2.44g,39%,Diner Burger served on a toasted bun with melted cheddar cheese and bacon,Bacon Cheeseburger,not found,50.48g,23.84g,1 sandwich,1167.16mg,15.01g,2.44g,18%,15%,5 & Diner,restaurant
5 & Diner®,9%,514.95,1.32g,741.36mg,44.6g,0g,18%,not found,Bacon Omelette,not found,24.71g,12.09g,1 omelette,432.15mg,1.32g,2.02g,17%,0%,5 & Diner,restaurant
5 & Diner®,15%,270,55g,0mg,1.5g,2g,10%,not found,Bagel,not found,9g,0.5g,1 bagel,440mg,6g,0g,0%,0%,5 & Diner,restaurant
5 & Diner®,5%,247.99,54.75g,0mg,0.32g,5.9g,15%,not found,Baked Potato,not found,6.71g,0.05g,1 baked potato,20.66mg,2.76g,0g,1%,55%,5 & Diner,restaurant
5 & Diner®,23%,709.67,66.74g,169.66mg,19.04g,1.67g,20%,"8 oz chicken breast marinated, charbroiled and topped with sauteed onions, mushrooms, peppers, bacon, melted jack cheese and BBQ bourbon sauce",BBQ Bourbon Chicken,not found,60.86g,7.97g,1 order,1549.58mg,51.82g,0g,40%,188%,5 & Diner,restaurant
5 & Diner®,4%,2246.25,60g,567.5mg,164.15g,0g,36%,"a full rack of baby back ribs slow cooked and glazed with BBQ Bourbon sauce, served with fries, cinnamon apples and garlic toast",BBQ Bourbon Pork Ribs,not found,120.59g,63.84g,1 order,3480.93mg,48g,0g,0%,0%,5 & Diner,restaurant
5 & Diner®,4%,1308.54,60g,300mg,83.72g,0g,8%,crispy House Wings slathered in BBQ Bourbon sauces and served with ranch dressing,BBQ Bourbon Wings,not found,72g,1.33g,1 order,2180mg,48g,0g,5%,0%,5 & Diner,restaurant
5 & Diner®,28%,975.79,76.69g,166.02mg,51.4g,3.04g,42%,Diner Burger on a toasted bun with tangy BBQ sauce,BBQ Burger,not found,49.21g,20.25g,1 sandwich,1124.92mg,22.45g,2.44g,14%,16%,5 & Diner,restaurant
5 & Diner®,37%,1019.82,99.5g,135.6mg,41.59g,3.84g,34%,marinated chicken breast served on a toasted bun smothered with tangy BBQ sauce,BBQ Chicken Sandwich,not found,55.29g,10.76g,1 sandwich,2080.79mg,42.74g,1.01g,12%,11%,5 & Diner,restaurant
5 & Diner®,4%,612.01,20.29g,623.75mg,36.72g,1.26g,63%,served with grilled onions,Beef Liver,not found,47.18g,6.83g,1 order,156.5mg,4.91g,4.43g,767%,18%,5 & Diner,restaurant
5 & Diner®,4%,702.21,20.29g,636.75mg,45.72g,1.26g,64%,not found,Beef Liver with Bacon,not found,49.38g,10.03g,1 order,285.7mg,4.91g,4.43g,767%,18%,5 & Diner,restaurant
5 & Diner®,26%,568.43,47.06g,464.53mg,24.86g,2.48g,32%,not found,Beef Machaca and Scrambled Eggs Combo,not found,39.77g,6.96g,1 order,1141.08mg,3.12g,2.01g,11%,10%,5 & Diner,restaurant
5 & Diner®,37%,1540.86,73.05g,323mg,97.75g,2.77g,65%,double decker burger with melted American cheese on a toasted bun,Big Bopper Burger,not found,86.02g,38.2g,1 sandwich,1752.74mg,17.32g,4.88g,22%,14%,5 & Diner,restaurant
