,Pig in A Blanket (Frankfurter or Hot Dog Wrapped in Dough),grocery,13,275,14.15,22,20.96,0.4,8,7.4,6.493,1 pig in blanket,814,1.22,1,0
,"Orange Juice with Calcium Added (Bottled or in a Carton, Canned)",grocery,4,13,3.05,0,0.04,0.1,1,0.18,0.006,1 fl oz,1,2.6,0,18
,Ground Beef with Tomato Sauce and Taco Seasonings On A Cornbread Crust,grocery,9,351,37.07,72,14.68,3.9,17,17.09,4.908,1 cup,1101,12.67,7,11
,"Pineapple Grapefruit Juice with Sugar (Bottled or in a Carton, Canned)",grocery,2,130,31.65,0,0.27,0.2,3,1.08,0.025,1 cup,2,27.98,0,80
,Milk (2% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,125,12.18,20,4.7,0,1,8.53,2.928,1 cup,127,-,10,4
,Milk (Nonfat with Added Vitamin A and Protein),grocery,35,101,13.68,5,0.62,0,1,9.74,0.399,1 cup,145,-,10,4
,Puerto Rican Style Tamal in A Leaf (Tamales En Hoja),grocery,1,66,4.85,24,3.62,0.7,2,3.92,0.861,"1 tamal (6"" x 2"" x 1/2"")",118,1.89,2,4
,Milk (1% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,105,12.18,10,2.38,0,1,8.53,1.48,1 cup,127,-,10,4
,"Pineapple Grapefruit Juice Unsweetened (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,"Pineapple Orange Juice (Bottled or in a Carton, Canned)",grocery,2,120,28.4,0,0.32,0.5,5,1.2,0.032,1 cup,5,22.98,4,92
,"Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,94,22.13,0,0.25,0.2,3,1.28,0.032,1 cup,2,21.88,0,120
,Milk (2% Lowfat with Added Vitamin A and Protein),grocery,35,138,13.51,20,4.87,0,1,9.72,3.031,1 cup,145,12.94,0,4
,Milk (Nonfat with Added Vitamin A and Nonfat Solids),grocery,32,91,12.3,5,0.61,0,1,8.75,0.397,1 cup,130,12.3,10,4
,Milk (2% Lowfat Without Added Vitamin A and Nonfat Solids),grocery,35,137,13.45,20,4.85,0,1,9.68,3.018,1 cup,145,-,4,4
,Milk (1% Lowfat with Added Vitamin A and Protein),grocery,35,118,13.58,10,2.88,0,1,9.67,1.791,1 cup,143,-,10,5
,Ground Beef with Tomato Sauce on a Pizza Crust,grocery,4,441,42.98,70,17.75,1.9,24,25.51,6.299,1 piece (1/6 of whole pan),1241,6.38,2,3
,"Orange Juice (Bottled or in a Carton, Canned)",grocery,2,105,24.53,0,0.35,0.5,6,1.47,0.045,1 cup,5,20.92,9,143
