Food,Group,Subgroup
"Apples, cooked or canned",Fruit,Whole Fruit
"Applesauce, canned, unsweetened, without vitamin C",Fruit,Whole Fruit
"Apples, dried",Fruit,Whole Fruit
"Apple, dried, sulfured, uncooked",Fruit,Whole Fruit
"Apples, raw",Fruit,Whole Fruit
"Apple, raw, with skin",Fruit,Whole Fruit
Applesauce,Fruit,Whole Fruit
"Applesauce, canned, unsweetened, without vitamin C",Fruit,Whole Fruit
"Apricot, cooked or canned",Fruit,Whole Fruit
"Apricot, canned, water pack",Fruit,Whole Fruit
"Apricot, dried",Fruit,Whole Fruit
"Apricot, dried, sulfured, uncooked",Fruit,Whole Fruit
"Apricot, raw",Fruit,Whole Fruit
"Apricots, raw",Fruit,Whole Fruit
"Bananas, cooked or canned (Incl. red)",Fruit,Whole Fruit
"Bananas, raw",Fruit,Whole Fruit
"Bananas, dried",Fruit,Whole Fruit
"Bananas, dehydrated",Fruit,Whole Fruit
"Bananas, raw (Incl. white, red, Chinese,",Fruit,Whole Fruit
"Bananas, raw",Fruit,Whole Fruit
"Blackberries, cooked or canned",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
"Blueberries, cooked or canned",Fruit,Whole Fruit
"Blueberries, raw",Fruit,Whole Fruit
"Blueberries, dried",Fruit,Whole Fruit
"Blueberries, raw",Fruit,Whole Fruit
"Blueberries, raw",Fruit,Whole Fruit
"Blueberries, raw",Fruit,Whole Fruit
"Boysenberries, raw",Fruit,Whole Fruit
"Boysenberries, frozen, unsweetened",Fruit,Whole Fruit
"Cantaloupe, raw",Fruit,Whole Fruit
"Melons, cantaloupe, raw",Fruit,Whole Fruit
"Casaba Melon, raw",Fruit,Whole Fruit
"Melons, casaba, raw",Fruit,Whole Fruit
"Cherries, cooked or canned (Incl.",Fruit,Whole Fruit
"Cherries, sour, red, canned, water pack",Fruit,Whole Fruit
"maraschino) Cherries, raw",Fruit,Whole Fruit
"Cherries, sweet, raw",Fruit,Whole Fruit
"Cranberries, cooked or canned",Fruit,Whole Fruit
"Cranberry sauce, canned, sweetened",Fruit,Whole Fruit
"Cranberries, dried",Fruit,Whole Fruit
"Cranberries, dried, sweetened",Fruit,Whole Fruit
"Cranberries, raw",Fruit,Whole Fruit
"Cranberries, raw",Fruit,Whole Fruit
"Dates, raw and cooked",Fruit,Whole Fruit
"Dates, deglet noor",Fruit,Whole Fruit
"Dewberries, raw",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
"Figs, cooked or canned",Fruit,Whole Fruit
"Figs, canned, water pack",Fruit,Whole Fruit
"Figs, dried",Fruit,Whole Fruit
"Figs, dried, uncooked",Fruit,Whole Fruit
"Figs, raw",Fruit,Whole Fruit
"Figs, raw",Fruit,Whole Fruit
"Grapefruit, cooked or canned",Fruit,Whole Fruit
"Grapefruit sections, canned, water pack",Fruit,Whole Fruit
"Grapefruit, raw",Fruit,Whole Fruit
"Grapefruit, raw, pink, red, and white",Fruit,Whole Fruit
"Grapes, cooked or canned",Fruit,Whole Fruit
"Grapes, canned, Thompson seedless, water pack",Fruit,Whole Fruit
"Grapes, raw",Fruit,Whole Fruit
"Grapes, red/green (European type), raw",Fruit,Whole Fruit
"Guava, cooked or canned",Fruit,Whole Fruit
"Guavas, common, raw",Fruit,Whole Fruit
"Guava, raw",Fruit,Whole Fruit
"Guavas, common, raw",Fruit,Whole Fruit
"Honeydew Melon, raw",Fruit,Whole Fruit
"Melons, honeydew, raw",Fruit,Whole Fruit
"Huckleberries, raw",Fruit,Whole Fruit
"Huckleberries, raw",Fruit,Whole Fruit
"Japanese Pears, raw",Fruit,Whole Fruit
"Pears, asian, raw",Fruit,Whole Fruit
"Juneberry, raw",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
"Kiwifruit, raw",Fruit,Whole Fruit
"Kiwifruit, green, raw",Fruit,Whole Fruit
"Kumquat, cooked or canned",Fruit,Whole Fruit
"Kumquats, raw",Fruit,Whole Fruit
"Kumquat, raw",Fruit,Whole Fruit
"Kumquats, raw",Fruit,Whole Fruit
"Lemons, raw or cooked (Incl. lemon peel",Fruit,Whole Fruit
"Lemons, raw, without peel",Fruit,Whole Fruit
"Lime, raw (Incl. calamondin)",Fruit,Whole Fruit
"Limes, raw",Fruit,Whole Fruit
Subgroup and Item Clusters,Fruit,Whole Fruit
group subgroup,Fruit,Whole Fruit
Representative Food (used to represent nutrient value,Fruit,Whole Fruit
of the item cluster),Fruit,Whole Fruit
Item,Fruit,Whole Fruit
"Loganberries, raw",Fruit,Whole Fruit
"Loganberries, frozen",Fruit,Whole Fruit
"Lychee, cooked or canned",Fruit,Whole Fruit
"Litchis, raw",Fruit,Whole Fruit
"Lychee, raw",Fruit,Whole Fruit
"Litchis, raw",Fruit,Whole Fruit
"Lychee, dried",Fruit,Whole Fruit
"Litchis, dried",Fruit,Whole Fruit
"Mango, cooked or canned",Fruit,Whole Fruit
"Mangos, raw",Fruit,Whole Fruit
"Mango, dried",Fruit,Whole Fruit
"Mangos, raw",Fruit,Whole Fruit
"Mango, raw",Fruit,Whole Fruit
"Mangos, raw",Fruit,Whole Fruit
Mixed Other Fruit (NOT citrus),Fruit,Whole Fruit
"Applesauce, canned, unsweetened, without vitamin C",Fruit,Whole Fruit
"Mulberries, raw",Fruit,Whole Fruit
"Mulberries, raw",Fruit,Whole Fruit
"Nectarine, cooked or canned",Fruit,Whole Fruit
"Peaches, canned, water pack",Fruit,Whole Fruit
"Nectarine, raw",Fruit,Whole Fruit
"Nectarines, raw",Fruit,Whole Fruit
"Oranges, cooked or canned",Fruit,Whole Fruit
"Tangerines, mandarin oranges, canned , juice pack",Fruit,Whole Fruit
"Oranges, raw (Incl. orange peel)",Fruit,Whole Fruit
"Oranges, raw, all varieties",Fruit,Whole Fruit
"Papaya, cooked or canned (Incl. green)",Fruit,Whole Fruit
"Papayas, raw",Fruit,Whole Fruit
"Papaya, dried",Fruit,Whole Fruit
"Papayas, raw",Fruit,Whole Fruit
"Papaya, raw",Fruit,Whole Fruit
"Papayas, raw",Fruit,Whole Fruit
"Passion Fruit, raw",Fruit,Whole Fruit
"Passion-fruit, (granadilla), purple, raw",Fruit,Whole Fruit
"Peaches, cooked or canned",Fruit,Whole Fruit
"Peaches, canned, water pack",Fruit,Whole Fruit
"Peaches, dried",Fruit,Whole Fruit
"Peach, dried, sulfured, uncooked",Fruit,Whole Fruit
"Peaches, raw",Fruit,Whole Fruit
"Peaches, raw",Fruit,Whole Fruit
"Pears, cooked or canned",Fruit,Whole Fruit
"Pears, canned, water pack",Fruit,Whole Fruit
"Pears, dried",Fruit,Whole Fruit
"Pears, dried, sulfured, uncooked",Fruit,Whole Fruit
"Pears, raw",Fruit,Whole Fruit
"Pears, raw",Fruit,Whole Fruit
"Persimmons, raw",Fruit,Whole Fruit
"Persimmons, native, raw",Fruit,Whole Fruit
"Pineapple, cooked or canned",Fruit,Whole Fruit
"Pineapples, canned, water pack",Fruit,Whole Fruit
"Pineapple, dried",Fruit,Whole Fruit
"Pineapples, raw, all varieties",Fruit,Whole Fruit
"Pineapple, raw",Fruit,Whole Fruit
"Pineapples, raw, all varieties",Fruit,Whole Fruit
"Plums, dried (include dried prunes)",Fruit,Whole Fruit
"Plums, dried (prunes), uncooked",Fruit,Whole Fruit
"Plums, raw",Fruit,Whole Fruit
"Plums, raw",Fruit,Whole Fruit
"Plums/Prunes, cooked or canned",Fruit,Whole Fruit
"Plums, canned, purple, water pack",Fruit,Whole Fruit
"Pomegranate, raw",Fruit,Whole Fruit
"Pomegranates, raw",Fruit,Whole Fruit
"Raisins, cooked or canned",Fruit,Whole Fruit
"Raisins, seedless",Fruit,Whole Fruit
"Raisins, raw (Incl. raw & dried currants)",Fruit,Whole Fruit
"Raisins, seedless",Fruit,Whole Fruit
"Raspberries, cooked or canned",Fruit,Whole Fruit
"Raspberries, raw",Fruit,Whole Fruit
"Raspberries, raw (incl. black & red)",Fruit,Whole Fruit
"Raspberries, raw",Fruit,Whole Fruit
"Rhubarb, cooked or canned",Fruit,Whole Fruit
"Rhubarb, raw",Fruit,Whole Fruit
"Rhubarb, raw",Fruit,Whole Fruit
"Rhubarb, raw",Fruit,Whole Fruit
"Star Fruit (Carambola), cooked",Fruit,Whole Fruit
"Carambola (starfruit), raw",Fruit,Whole Fruit
"Star Fruit (Carambola), raw",Fruit,Whole Fruit
"Carambola (starfruit), raw",Fruit,Whole Fruit
"Strawberries, cooked, canned, dried",Fruit,Whole Fruit
"Strawberries, frozen, unsweetened",Fruit,Whole Fruit
"Strawberries, raw",Fruit,Whole Fruit
"Strawberries, raw",Fruit,Whole Fruit
"Tamarind, dried",Fruit,Whole Fruit
"Tamarinds, raw",Fruit,Whole Fruit
"Tamarind, raw or cooked",Fruit,Whole Fruit
"Tamarinds, raw",Fruit,Whole Fruit
"Tangerine, raw or canned/cooked",Fruit,Whole Fruit
"Tangerines (mandarin oranges), raw",Fruit,Whole Fruit
Unknown Citrus Fruit,Fruit,Whole Fruit
"Strawberries,raw",Fruit,Whole Fruit
Unknown Other Fruit,Fruit,Whole Fruit
"Applesauce, canned, unsweetened, without vitamin C",Fruit,Whole Fruit
"Watermelon, raw",Fruit,Whole Fruit
"Watermelon, raw",Fruit,Whole Fruit
"Youngberries, raw",Fruit,Whole Fruit
"Blackberries, raw",Fruit,Whole Fruit
Apple Juice,Fruit,Fruit Juice
"Apple juice, canned/bottled, unsweetened, without",Fruit,Fruit Juice
Apricot Juice/Nectar,Fruit,Fruit Juice
"Apricot nectar, canned, without vitamin C",Fruit,Fruit Juice
Banana Juice/Nectar,Fruit,Fruit Juice
Blackberry Juice,Fruit,Fruit Juice
"Blackberry juice, canned",Fruit,Fruit Juice
Cantaloupe Juice/Nectar,Fruit,Fruit Juice
Cherry Juice,Fruit,Fruit Juice
Cranberry Juice,Fruit,Fruit Juice
"Cranberry juice,unsweetened",Fruit,Fruit Juice
Grape Juice,Fruit,Fruit Juice
"Grape juice, canned, unsweetened, without vitamin C",Fruit,Fruit Juice
Grapefruit Juice,Fruit,Fruit Juice
"Grapefruit juice, white, canned, unsweetened",Fruit,Fruit Juice
Guava Juice/Nectar,Fruit,Fruit Juice
"Guava nectar, canned",Fruit,Fruit Juice
Lemon Juice,Fruit,Fruit Juice
"Lemon juice, canned or bottled",Fruit,Fruit Juice
Lime Juice,Fruit,Fruit Juice
"Lime juice, canned or bottled, unsweetened",Fruit,Fruit Juice
Mango Juice/Nectar,Fruit,Fruit Juice
"Mango nectar, canned",Fruit,Fruit Juice
Mixed Fruit Juice (Citrus),Fruit,Fruit Juice
"Orange juice, chilled, including from concentrate",Fruit,Fruit Juice
Mixed Fruit Juice (NOT citrus),Fruit,Fruit Juice
"Apple juice, canned/bottled, unsweetened, without",Fruit,Fruit Juice
Orange Juice (Incl. tangerine & acerola),Fruit,Fruit Juice
"Orange juice, chilled, including from concentrate",Fruit,Fruit Juice
Papaya Juice/Nectar,Fruit,Fruit Juice
"Papaya nectar, canned",Fruit,Fruit Juice
Passion Fruit Juice/Nectar,Fruit,Fruit Juice
"Passion fruit juice, yellow, raw",Fruit,Fruit Juice
Peach Juice/Nectar,Fruit,Fruit Juice
